0.613442,秒

迭代次数,5000,种群数量,300,变异比例,0.1
迭代次数,适值,路径
0,41614,27,19,15,3,8,7,14,13,25,16,1,9,11,10,20,21,2,23,28,18,4,5,6,17,30,29,24,0,22,12,26,27
1,41614,27,19,15,3,8,7,14,13,25,16,1,9,11,10,20,21,2,23,28,18,4,5,6,17,30,29,24,0,22,12,26,27
2,41614,27,19,15,3,8,7,14,13,25,16,1,9,11,10,20,21,2,23,28,18,4,5,6,17,30,29,24,0,22,12,26,27
3,41614,27,19,15,3,8,7,14,13,25,16,1,9,11,10,20,21,2,23,28,18,4,5,6,17,30,29,24,0,22,12,26,27
4,39714,27,19,15,3,8,7,14,13,25,16,1,9,22,10,30,21,2,23,28,18,4,5,6,17,20,29,24,0,11,12,26,27
5,39714,27,19,15,3,8,7,14,13,25,16,1,9,22,10,30,21,2,23,28,18,4,5,6,17,20,29,24,0,11,12,26,27
6,39714,27,19,15,3,8,7,14,13,25,16,1,9,22,10,30,21,2,23,28,18,4,5,6,17,20,29,24,0,11,12,26,27
7,39410,18,3,12,28,30,14,0,5,4,6,23,24,13,8,9,2,21,25,20,17,22,19,26,27,29,16,7,10,15,1,11,18
8,39102,23,12,28,14,0,24,27,21,25,3,4,20,9,8,7,1,15,11,13,5,10,26,30,6,17,29,2,18,22,16,19,23
9,38310,30,28,10,17,19,18,12,24,22,5,16,29,9,8,7,4,15,11,13,0,27,25,26,6,14,3,1,23,2,21,20,30
10,37438,8,9,27,6,13,30,29,26,20,21,18,10,4,5,7,15,24,2,25,28,11,14,0,12,22,1,3,23,19,17,16,8
11,37002,8,9,15,6,14,30,29,26,20,21,18,10,4,5,7,27,24,2,25,28,11,13,0,12,22,1,3,23,19,17,16,8
12,37002,8,9,15,6,14,30,29,26,20,21,18,10,4,5,7,27,24,2,25,28,11,13,0,12,22,1,3,23,19,17,16,8
13,33740,30,28,10,17,19,18,14,0,23,15,16,2,9,8,7,4,5,11,13,24,27,25,26,6,12,3,1,22,29,21,20,30
14,33740,30,28,10,17,19,18,14,0,23,15,16,2,9,8,7,4,5,11,13,24,27,25,26,6,12,3,1,22,29,21,20,30
15,33740,30,28,10,17,19,18,14,0,23,15,16,2,9,8,7,4,5,11,13,24,27,25,26,6,12,3,1,22,29,21,20,30
16,33740,30,28,10,17,19,18,14,0,23,15,16,2,9,8,7,4,5,11,13,24,27,25,26,6,12,3,1,22,29,21,20,30
17,33740,30,28,10,17,19,18,14,0,23,15,16,2,9,8,7,4,5,11,13,24,27,25,26,6,12,3,1,22,29,21,20,30
18,33740,30,28,10,17,19,18,14,0,23,15,16,2,9,8,7,4,5,11,13,24,27,25,26,6,12,3,1,22,29,21,20,30
19,33740,30,28,10,17,19,18,14,0,23,15,16,2,9,8,7,4,5,11,13,24,27,25,26,6,12,3,1,22,29,21,20,30
20,33740,30,28,10,17,19,18,14,0,23,15,16,2,9,8,7,4,5,11,13,24,27,25,26,6,12,3,1,22,29,21,20,30
21,33168,16,6,14,0,28,29,26,27,20,21,17,15,9,8,7,1,4,11,13,5,18,25,2,23,3,19,12,10,30,24,22,16
22,30216,10,13,14,0,28,29,26,27,20,21,17,15,9,8,7,1,4,5,12,11,2,19,6,3,24,23,22,30,25,18,16,10
23,30216,10,13,14,0,28,29,26,27,20,21,17,15,9,8,7,1,4,5,12,11,2,19,6,3,24,23,22,30,25,18,16,10
24,30216,10,13,14,0,28,29,26,27,20,21,17,15,9,8,7,1,4,5,12,11,2,19,6,3,24,23,22,30,25,18,16,10
25,30216,10,13,14,0,28,29,26,27,20,21,17,15,9,8,7,1,4,5,12,11,2,19,6,3,24,23,22,30,25,18,16,10
26,30216,10,13,14,0,28,29,26,27,20,21,17,15,9,8,7,1,4,5,12,11,2,19,6,3,24,23,22,30,25,18,16,10
27,30216,10,13,14,0,28,29,26,27,20,21,17,15,9,8,7,1,4,5,12,11,2,19,6,3,24,23,22,30,25,18,16,10
28,30216,10,13,14,0,28,29,26,27,20,21,17,15,9,8,7,1,4,5,12,11,2,19,6,3,24,23,22,30,25,18,16,10
29,30216,10,13,14,0,28,29,26,27,20,21,17,15,9,8,7,1,4,5,12,11,2,19,6,3,24,23,22,30,25,18,16,10
30,31262,23,10,28,25,30,29,26,27,20,21,17,15,9,8,7,1,4,11,13,5,18,0,14,6,22,19,16,2,3,12,24,23
31,31172,10,28,23,25,30,29,26,27,20,21,17,15,9,8,7,1,4,11,13,5,18,0,14,6,22,19,16,2,3,12,24,10
32,31172,10,28,23,25,30,29,26,27,20,21,17,15,9,8,7,1,4,11,13,5,18,0,14,6,22,19,16,2,3,12,24,10
33,30984,19,24,10,25,30,29,26,27,20,21,17,15,9,8,7,1,4,11,13,5,18,0,14,28,16,2,22,12,6,3,23,19
34,30984,19,24,10,25,30,29,26,27,20,21,17,15,9,8,7,1,4,11,13,5,18,0,14,28,16,2,22,12,6,3,23,19
35,30596,30,12,10,22,28,29,21,18,20,23,17,15,9,8,7,1,4,11,13,14,0,24,5,6,3,19,16,2,25,27,26,30
36,30596,30,12,10,22,28,29,21,18,20,23,17,15,9,8,7,1,4,11,13,14,0,24,5,6,3,19,16,2,25,27,26,30
37,30596,30,12,10,22,28,29,21,18,20,23,17,15,9,8,7,1,4,11,13,14,0,24,5,6,3,19,16,2,25,27,26,30
38,30596,30,12,10,22,28,29,21,18,20,23,17,15,9,8,7,1,4,11,13,14,0,24,5,6,3,19,16,2,25,27,26,30
